s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+6.05000000E-01,+0.00000000E+00,+0.00000000E+00,-4.43752511E+00,+4.43752511E+00,-1.57079633E+00,+0.00000000E+00,-4.89971742E+00,+4.89971742E+00,-1.57079633E+00
+6.10000000E-01,+0.00000000E+00,+0.00000000E+00,-4.49249285E+00,+4.49249285E+00,-1.57079633E+00,+0.00000000E+00,-4.96878506E+00,+4.96878506E+00,-1.57079633E+00
+6.15000000E-01,+0.00000000E+00,+0.00000000E+00,-4.54945708E+00,+4.54945708E+00,-1.57079633E+00,+0.00000000E+00,-5.04036133E+00,+5.04036133E+00,-1.57079633E+00
+6.20000000E-01,+0.00000000E+00,+0.00000000E+00,-4.60852258E+00,+4.60852258E+00,-1.57079633E+00,+0.00000000E+00,-5.11457786E+00,+5.11457786E+00,-1.57079633E+00
+6.25000000E-01,+0.00000000E+00,+0.00000000E+00,-4.66980166E+00,+4.66980166E+00,-1.57079633E+00,+0.00000000E+00,-5.19157578E+00,+5.19157578E+00,-1.57079633E+00
+6.30000000E-01,+0.00000000E+00,+0.00000000E+00,-4.73341485E+00,+4.73341485E+00,-1.57079633E+00,+0.00000000E+00,-5.27150655E+00,+5.27150655E+00,-1.57079633E+00
+6.35000000E-01,+0.00000000E+00,+0.00000000E+00,-4.79949170E+00,+4.79949170E+00,-1.57079633E+00,+0.00000000E+00,-5.35453292E+00,+5.35453292E+00,-1.57079633E+00
+6.40000000E-01,+0.00000000E+00,+0.00000000E+00,-4.86817157E+00,+4.86817157E+00,-1.57079633E+00,+0.00000000E+00,-5.44083003E+00,+5.44083003E+00,-1.57079633E+00
+6.45000000E-01,+0.00000000E+00,+0.00000000E+00,-4.93960466E+00,+4.93960466E+00,-1.57079633E+00,+0.00000000E+00,-5.53058659E+00,+5.53058659E+00,-1.57079633E+00
+6.50000000E-01,+0.00000000E+00,+0.00000000E+00,-5.01395301E+00,+5.01395301E+00,-1.57079633E+00,+0.00000000E+00,-5.62400621E+00,+5.62400621E+00,-1.57079633E+00
