theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
37.1,5.06384563,5.59098548,5.06220066,5.58301463,5.10411272
37.2,5.0645744,5.59853366,5.06411048,5.58314817,5.10429078
37.3,5.06532461,5.60558819,5.06608183,5.5832811,5.10445037
37.4,5.06609517,5.61214183,5.06811036,5.58341359,5.10459188
37.5,5.06688498,5.61818826,5.07019156,5.5835458,5.10471575
37.6,5.06769285,5.62372214,5.07232082,5.58367791,5.10482246
37.7,5.06851756,5.62873908,5.0744934,5.58381008,5.10491253
37.8,5.06935784,5.63323565,5.07670445,5.58394249,5.1049865
37.9,5.0702124,5.63720937,5.07894904,5.58407532,5.10504495
38,5.07107988,5.64065875,5.08122217,5.58420874,5.10508849
38.1,5.07195892,5.64358323,5.08351876,5.58434294,5.10511775
38.2,5.0728481,5.64598321,5.08583371,5.58447808,5.1051334
38.3,5.073746,5.64786006,5.08816187,5.58461436,5.10513612
38.4,5.07465117,5.64921608,5.09049808,5.58475193,5.10512663
38.5,5.07556214,5.65005455,5.09283717,5.58489098,5.10510567
38.6,5.07647744,5.65037966,5.09517399,5.58503168,5.10507399
38.7,5.07739559,5.65019655,5.09750341,5.5851742,5.10503237
38.8,5.07831508,5.6495113,5.09982034,5.5853187,5.10498159
38.9,5.07923445,5.64833092,5.10211976,5.58546534,5.10492245
39,5.08015219,5.6466633,5.10439668,5.58561427,5.10485579
39.1,5.08106685,5.64451729,5.10664625,5.58576566,5.10478242
39.2,5.08197695,5.6419026,5.10886366,5.58591963,5.10470319
39.3,5.08288107,5.63882985,5.11104425,5.58607634,5.10461894
39.4,5.08377778,5.63531051,5.11318346,5.58623592,5.10453052
39.5,5.0846657,5.63135694,5.11527687,5.58639848,5.10443879
39.6,5.08554346,5.62698232,5.11732021,5.58656414,5.10434459
39.7,5.08640974,5.62220069,5.11930938,5.58673303,5.10424879
39.8,5.08726326,5.61702686,5.12124041,5.58690523,5.10415224
39.9,5.08810278,5.61147647,5.12310956,5.58708084,5.10405578
40,5.08892709,5.60556592,5.12491326,5.58725995,5.10396027
40.1,5.08973506,5.59931235,5.12664813,5.58744263,5.10386653
40.2,5.0905256,5.59273362,5.12831102,5.58762894,5.1037754
40.3,5.09129768,5.5858483,5.12989898,5.58781895,5.10368768
40.4,5.09205032,5.57867562,5.13140931,5.58801269,5.10360418
40.5,5.09278262,5.57123544,5.13283951,5.58821021,5.1035257
40.6,5.09349374,5.56354825,5.13418736,5.58841153,5.103453
