theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
130.9,5.8817641,10.7562503,5.97228442,5.0344371,5.96396915
131,5.80841601,10.8289005,5.89579462,5.00298113,5.8873447
131.1,5.72947469,10.8915632,5.81342497,4.97067121,5.80484594
131.2,5.64491485,10.9443426,5.7251372,4.93763189,5.71643492
131.3,5.55471634,10.987321,5.63089704,4.90399603,5.6220778
131.4,5.45886547,11.0205602,5.53067548,4.86990461,5.521746
131.5,5.3573564,11.0441009,5.4244502,4.83550648,5.41541778
131.6,5.25019298,11.0579638,5.31220734,4.80095797,5.30307991
131.7,5.13739072,11.0621494,5.19394358,4.76642245,5.18472981
131.8,5.01897924,11.0566378,5.06966853,4.73206977,5.06037798
131.9,4.89500504,11.0413888,4.93940771,4.69807559,4.9300509
132,4.76553473,11.0163412,4.80320584,4.66462058,4.79379449
132.1,4.63065882,10.9814125,4.6611309,4.63188949,4.65167803
132.2,4.49049603,10.936498,4.51327874,4.60007011,4.50379888
132.3,4.34519826,10.88147,4.35977849,4.56935209,4.35028789
132.4,4.1949563,10.8161766,4.20079877,4.53992562,4.19131565
132.5,4.0400062,10.7404405,4.03655496,4.51198007,4.02709973
132.6,3.88063661,10.654057,3.86731735,4.48570238,3.85791289
132.7,3.71719678,10.5567925,3.6934205,4.46127549,3.68409247
132.8,3.5501055,10.448382,3.51527366,4.43887666,3.50605077
132.9,3.3798608,10.3285267,3.33337237,4.41867568,3.3242867
133,3.20705017,10.1968906,3.14831107,4.40083314,3.13939834
133.1,3.03236132,10.0530974,2.9607965,4.38549862,2.95209634
133.2,2.85659289,9.89672633,2.77166165,4.37280902,2.76321775
133.3,2.68066464,9.72730712,2.58187949,4.36288687,2.57373976
133.4,2.50562655,9.54431478,2.39257595,4.35583877,2.38479248
133.5,2.33266562,9.34716304,2.20504072,4.35175399,2.19766954
133.6,2.16310939,9.13519684,2.02073457,4.35070326,2.01383523
133.7,1.99842474,8.90768361,1.84129133,4.35273772,1.8349261
133.8,1.84021028,8.66380292,1.66851231,4.35788809,1.66274514
133.9,1.6901809,8.4026344,1.50435098,4.36616416,1.49924594
134,1.5501428,8.12314351,1.35088555,4.3775545,1.34650491
134.1,1.42195816,7.82416462,1.21027769,4.39202639,1.20667961
134.2,1.30749887,7.50438113,1.08471658,4.40952614,1.08195244
134.3,1.20859021,7.16230183,0.976348676,4.42997956,0.974460301
134.4,1.1269465,6.79623293,0.887195978,4.45329273,0.886212807
134.5,1.06410208,6.40424493,0.819067157,4.47935304,0.819003775
134.6,1.02134274,5.98413372,0.773468541,4.50803032,0.774322759
134.7,0.999643146,5.53337527,0.75152305,4.5391783,0.753274823
134.8,0.999616284,5.04907386,0.753905634,4.57263606,0.756517011
134.9,1.02148028,4.52790527,0.780802701,4.60822969,0.784218872
135,1.06504616,3.96605867,0.83190047,4.64577398,0.836051866
135.1,1.1297279,3.35918741,0.906403736,4.68507419,0.911208962
135.2,1.21457382,2.7023903,1.00308268,4.72592774,1.00845201
135.3,1.31831559,1.99027053,1.12034204,4.768126,1.12618114
135.4,1.43942988,1.21717004,1.25630487,4.8114559,1.26251835
135.5,1.57620667,0.377783237,1.40890217,4.85570158,1.41539679
135.6,1.72681832,-0.531431154,1.57596056,4.9006459,1.58264785
135.7,1.88938463,-1.50919992,1.75528167,4.94607179,1.76207988
135.8,2.06202994,-2.54317382,1.94470903,4.99176362,1.95154439
135.9,2.2429304,-3.59803907,2.14218057,5.0375083,2.14898798
136,2.43035038,-4.59653948,2.34576643,5.08309635,2.3524896
136.1,2.62266826,-5.40148122,2.55369328,5.12832282,2.56028451
136.2,2.8183928,-5.8324012,2.76435714,5.17298808,2.77077681
136.3,3.01617135,-5.75683718,2.9763269,5.21689846,2.98254277
136.4,3.21479156,-5.19641402,3.18834086,5.25986688,3.19432729
136.5,3.41317827,-4.3075648,3.39929841,5.30171326,3.40503555
136.6,3.61038684,-3.26535496,3.60824854,5.34226489,3.61372151
136.7,3.80559431,-2.19129678,3.8143766,5.38135675,3.81957476
136.8,3.99808915,-1.15008952,4.01699036,5.41883166,4.02190663
136.9,4.18726055,-0.169779972,4.21550615,5.4545405,4.22013637
137,4.37258764,0.740902418,4.40943557,5.48834221,4.41377798
137.1,4.55362916,1.58231189,4.59837305,5.52010394,4.60242781
137.2,4.73001359,2.35862853,4.78198449,5.54970097,4.78575328
137.3,4.9014302,3.07533186,4.95999705,5.57701675,4.96348274
137.4,5.06762077,3.73804659,5.13219,5.60194286,5.13539637
137.5,5.22837226,4.35205229,5.29838675,5.62437895,5.30131824
137.6,5.38351021,4.92210657,5.45844777,5.64423272,5.46110931
137.7,5.53289289,5.45241225,5.61226454,5.66141986,5.61466135
137.8,5.67640629,5.94664672,5.75975422,5.67586405,5.7618917
137.9,5.81395955,6.40801486,5.9008551,5.68749691,5.90273875
138,5.94548112,6.8393074,6.03552273,5.69625803,6.03715802
138.1,6.07091541,7.24295667,6.1637265,5.70209498,6.16511883
138.2,6.19021981,7.62108682,6.28544681,5.70496341,6.28660145
138.3,6.30336217,7.97555743,6.40067261,5.70482713,6.40159466
138.4,6.41031864,8.30800091,6.50939929,5.70165821,6.51009363
138.5,6.51107176,8.61985421,6.61162686,5.69543722,6.61209814
138.6,6.60560883,8.91238559,6.70735846,5.68615339,6.7076111
138.7,6.6939205,9.18671728,6.79659902,5.67380494,6.79663715
138.8,6.77599953,9.44384451,6.87935411,5.65839932,6.87918161
138.9,6.85183975,9.68465167,6.95562899,5.63995366,6.95524946
139,6.92143513,9.90992589,7.02542779,5.61849511,7.02484451
139.1,6.98477897,10.1203687,7.0887527,5.59406139,7.0879687
139.2,7.04186318,10.3166057,7.14560339,5.56670127,7.14462141
139.3,7.09267767,10.4991952,7.19597644,5.53647516,7.1947989
139.4,7.13720976,10.6686353,7.23986477,5.50345576,7.23849385
139.5,7.17544371,10.8253697,7.27725726,5.4677287,7.27569482
139.6,7.20736025,10.9697933,7.30813827,5.4293933,7.3063859
139.7,7.23293614,11.1022567,7.33248727,5.38856332,7.33054627
139.8,7.25214379,11.2230699,7.35027847,5.34536771,7.34814986
139.9,7.2649509,11.3325054,7.36148043,5.29995146,7.35916496
140,7.27132008,11.4308016,7.36605576,5.25247634,7.36355391
140.1,7.27120853,11.5181644,7.36396075,5.20312173,7.36127269
140.2,7.26456768,11.59477,7.35514498,5.15208532,7.35227063
140.3,7.25134288,11.6607658,7.33955103,5.0995838,7.33649003
140.4,7.23147303,11.7162724,7.31711407,5.04585341,7.31386579
140.5,7.20489024,11.7613846,7.28776149,4.99115039,7.28432501
140.6,7.1715195,11.7961718,7.25141249,4.93575125,7.24778661
140.7,7.13127831,11.8206791,7.20797766,4.87995276,7.20416092
140.8,7.0840763,11.8349274,7.15735854,4.82407179,7.15334918
140.9,7.02981483,11.8389138,7.09944714,4.76844468,7.09524314
141,6.96838665,11.8326113,7.03412545,4.71342639,7.02972449
141.1,6.8996754,11.8159688,6.9612649,4.65938909,6.95666437
141.2,6.8235553,11.7889101,6.88072579,4.60672037,6.87592281
141.3,6.73989062,11.7513339,6.79235672,4.55582088,6.78734813
141.4,6.64853531,11.7031121,6.69599396,4.50710145,6.69077631
141.5,6.54933255,11.644089,6.59146083,4.4609796,6.58603037
141.6,6.44211436,11.5740795,6.478567,4.41787554,6.47291972
141.7,6.32670118,11.4928672,6.35710783,4.37820761,6.35123946
141.8,6.20290157,11.4002023,6.22686376,4.34238717,6.22076974
141.9,6.07051189,11.2957989,6.08759957,4.31081311,6.08127514
142,5.92931618,11.1793316,5.93906386,4.28386609,5.93250405
142.1,5.77908614,11.0504316,5.78098855,4.26190251,5.77418817
142.2,5.61958127,10.908683,5.61308844,4.24524852,5.6060422
142.3,5.45054939,10.7536166,5.43506114,4.23419418,5.42776369
142.4,5.2717275,10.5847045,5.24658719,4.22898798,5.23903319
142.5,5.0828431,10.4013523,5.04733062,4.22983191,5.03951488
