theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+5.27867610E+00,+0.00000000E+00,+9.06392978E-01,-4.03676000E-01,+9.92221016E-01,-4.18993046E-01,+9.08671764E-01,-4.02834386E-01,+9.93961728E-01,-4.17286827E-01
+5.33621859E+00,+0.00000000E+00,+9.06359200E-01,-4.03659365E-01,+9.92183392E-01,-4.18991581E-01,+9.08687951E-01,-4.02799234E-01,+9.93962280E-01,-4.17247896E-01
+5.39376647E+00,+0.00000000E+00,+9.06325050E-01,-4.03642552E-01,+9.92145355E-01,-4.18990104E-01,+9.08704312E-01,-4.02763698E-01,+9.93962838E-01,-4.17208540E-01
+5.45131981E+00,+0.00000000E+00,+9.06290528E-01,-4.03625560E-01,+9.92106906E-01,-4.18988616E-01,+9.08720849E-01,-4.02727778E-01,+9.93963402E-01,-4.17168760E-01
+5.50887867E+00,+0.00000000E+00,+9.06255633E-01,-4.03608390E-01,+9.92068045E-01,-4.18987115E-01,+9.08737561E-01,-4.02691474E-01,+9.93963972E-01,-4.17128555E-01
+5.56644311E+00,+0.00000000E+00,+9.06220366E-01,-4.03591041E-01,+9.92028770E-01,-4.18985603E-01,+9.08754448E-01,-4.02654785E-01,+9.93964548E-01,-4.17087925E-01
+5.62401318E+00,+0.00000000E+00,+9.06184727E-01,-4.03573514E-01,+9.91989083E-01,-4.18984079E-01,+9.08771510E-01,-4.02617711E-01,+9.93965130E-01,-4.17046871E-01
+5.68158895E+00,+0.00000000E+00,+9.06148714E-01,-4.03555809E-01,+9.91948982E-01,-4.18982544E-01,+9.08788748E-01,-4.02580253E-01,+9.93965718E-01,-4.17005390E-01
+5.73917048E+00,+0.00000000E+00,+9.06112328E-01,-4.03537926E-01,+9.91908468E-01,-4.18980998E-01,+9.08806160E-01,-4.02542410E-01,+9.93966312E-01,-4.16963485E-01
+5.79675782E+00,+0.00000000E+00,+9.06075568E-01,-4.03519864E-01,+9.91867540E-01,-4.18979441E-01,+9.08823748E-01,-4.02504182E-01,+9.93966912E-01,-4.16921154E-01
+5.85435104E+00,+0.00000000E+00,+9.06038435E-01,-4.03501624E-01,+9.91826198E-01,-4.18977873E-01,+9.08841511E-01,-4.02465569E-01,+9.93967518E-01,-4.16878398E-01
+5.91195020E+00,+0.00000000E+00,+9.06000928E-01,-4.03483206E-01,+9.91784442E-01,-4.18976294E-01,+9.08859450E-01,-4.02426571E-01,+9.93968130E-01,-4.16835216E-01
+5.96955535E+00,+0.00000000E+00,+9.05963047E-01,-4.03464610E-01,+9.91742272E-01,-4.18974704E-01,+9.08877563E-01,-4.02387188E-01,+9.93968749E-01,-4.16791608E-01
+6.02716656E+00,+0.00000000E+00,+9.05924791E-01,-4.03445836E-01,+9.91699688E-01,-4.18973104E-01,+9.08895852E-01,-4.02347419E-01,+9.93969373E-01,-4.16747574E-01
+6.08478389E+00,+0.00000000E+00,+9.05886161E-01,-4.03426885E-01,+9.91656689E-01,-4.18971494E-01,+9.08914315E-01,-4.02307264E-01,+9.93970003E-01,-4.16703114E-01
+6.14240739E+00,+0.00000000E+00,+9.05847156E-01,-4.03407755E-01,+9.91613275E-01,-4.18969873E-01,+9.08932954E-01,-4.02266723E-01,+9.93970639E-01,-4.16658228E-01
+6.20003713E+00,+0.00000000E+00,+9.05807776E-01,-4.03388447E-01,+9.91569446E-01,-4.18968242E-01,+9.08951769E-01,-4.02225797E-01,+9.93971282E-01,-4.16612915E-01
+6.25767317E+00,+0.00000000E+00,+9.05768020E-01,-4.03368962E-01,+9.91525201E-01,-4.18966602E-01,+9.08970758E-01,-4.02184484E-01,+9.93971930E-01,-4.16567176E-01
+6.31531557E+00,+0.00000000E+00,+9.05727888E-01,-4.03349299E-01,+9.91480542E-01,-4.18964951E-01,+9.08989923E-01,-4.02142785E-01,+9.93972585E-01,-4.16521010E-01
+6.37296439E+00,+0.00000000E+00,+9.05687381E-01,-4.03329458E-01,+9.91435466E-01,-4.18963291E-01,+9.09009263E-01,-4.02100700E-01,+9.93973245E-01,-4.16474418E-01
+6.43061968E+00,+0.00000000E+00,+9.05646497E-01,-4.03309439E-01,+9.91389975E-01,-4.18961622E-01,+9.09028778E-01,-4.02058228E-01,+9.93973912E-01,-4.16427398E-01
+6.48828152E+00,+0.00000000E+00,+9.05605237E-01,-4.03289243E-01,+9.91344067E-01,-4.18959943E-01,+9.09048468E-01,-4.02015369E-01,+9.93974585E-01,-4.16379952E-01
+6.54594995E+00,+0.00000000E+00,+9.05563601E-01,-4.03268869E-01,+9.91297743E-01,-4.18958255E-01,+9.09068334E-01,-4.01972123E-01,+9.93975263E-01,-4.16332078E-01
+6.60362505E+00,+0.00000000E+00,+9.05521587E-01,-4.03248318E-01,+9.91251003E-01,-4.18956558E-01,+9.09088375E-01,-4.01928491E-01,+9.93975948E-01,-4.16283777E-01
+6.66130687E+00,+0.00000000E+00,+9.05479196E-01,-4.03227590E-01,+9.91203846E-01,-4.18954852E-01,+9.09108591E-01,-4.01884471E-01,+9.93976639E-01,-4.16235048E-01
+6.71899547E+00,+0.00000000E+00,+9.05436427E-01,-4.03206684E-01,+9.91156271E-01,-4.18953138E-01,+9.09128983E-01,-4.01840064E-01,+9.93977336E-01,-4.16185892E-01
+6.77669091E+00,+0.00000000E+00,+9.05393281E-01,-4.03185601E-01,+9.91108280E-01,-4.18951415E-01,+9.09149549E-01,-4.01795269E-01,+9.93978039E-01,-4.16136308E-01
+6.83439326E+00,+0.00000000E+00,+9.05349757E-01,-4.03164340E-01,+9.91059871E-01,-4.18949683E-01,+9.09170292E-01,-4.01750087E-01,+9.93978748E-01,-4.16086296E-01
+6.89210258E+00,+0.00000000E+00,+9.05305854E-01,-4.03142903E-01,+9.91011044E-01,-4.18947944E-01,+9.09191209E-01,-4.01704516E-01,+9.93979463E-01,-4.16035855E-01
+6.94981892E+00,+0.00000000E+00,+9.05261572E-01,-4.03121288E-01,+9.90961799E-01,-4.18946196E-01,+9.09212302E-01,-4.01658558E-01,+9.93980184E-01,-4.15984987E-01
+7.00754235E+00,+0.00000000E+00,+9.05216912E-01,-4.03099496E-01,+9.90912136E-01,-4.18944440E-01,+9.09233570E-01,-4.01612211E-01,+9.93980911E-01,-4.15933690E-01
+7.06527293E+00,+0.00000000E+00,+9.05171872E-01,-4.03077527E-01,+9.90862054E-01,-4.18942677E-01,+9.09255013E-01,-4.01565476E-01,+9.93981645E-01,-4.15881964E-01
+7.12301072E+00,+0.00000000E+00,+9.05126453E-01,-4.03055381E-01,+9.90811554E-01,-4.18940907E-01,+9.09276631E-01,-4.01518353E-01,+9.93982384E-01,-4.15829810E-01
+7.18075578E+00,+0.00000000E+00,+9.05080654E-01,-4.03033058E-01,+9.90760635E-01,-4.18939129E-01,+9.09298425E-01,-4.01470841E-01,+9.93983130E-01,-4.15777226E-01
+7.23850818E+00,+0.00000000E+00,+9.05034475E-01,-4.03010558E-01,+9.90709297E-01,-4.18937343E-01,+9.09320395E-01,-4.01422940E-01,+9.93983881E-01,-4.15724214E-01
+7.29626797E+00,+0.00000000E+00,+9.04987915E-01,-4.02987882E-01,+9.90657539E-01,-4.18935551E-01,+9.09342539E-01,-4.01374650E-01,+9.93984639E-01,-4.15670772E-01
+7.35403521E+00,+0.00000000E+00,+9.04940975E-01,-4.02965029E-01,+9.90605361E-01,-4.18933752E-01,+9.09364859E-01,-4.01325970E-01,+9.93985403E-01,-4.15616901E-01
+7.41180997E+00,+0.00000000E+00,+9.04893653E-01,-4.02941999E-01,+9.90552764E-01,-4.18931946E-01,+9.09387354E-01,-4.01276901E-01,+9.93986173E-01,-4.15562601E-01
+7.46959232E+00,+0.00000000E+00,+9.04845950E-01,-4.02918792E-01,+9.90499746E-01,-4.18930134E-01,+9.09410025E-01,-4.01227443E-01,+9.93986949E-01,-4.15507870E-01
+7.52738230E+00,+0.00000000E+00,+9.04797866E-01,-4.02895409E-01,+9.90446308E-01,-4.18928316E-01,+9.09432871E-01,-4.01177594E-01,+9.93987731E-01,-4.15452710E-01
+7.58517999E+00,+0.00000000E+00,+9.04749399E-01,-4.02871850E-01,+9.90392449E-01,-4.18926491E-01,+9.09455893E-01,-4.01127356E-01,+9.93988519E-01,-4.15397119E-01
+7.64298544E+00,+0.00000000E+00,+9.04700551E-01,-4.02848114E-01,+9.90338169E-01,-4.18924661E-01,+9.09479089E-01,-4.01076728E-01,+9.93989314E-01,-4.15341099E-01
