theta1,theta_2,Re(r_ibc01p.11),Im(r_ibc01p.11),Abs(r_ibc01p.11),Arg(r_ibc01p.11),Re(r_ibc01p.21),Im(r_ibc01p.21),Abs(r_ibc01p.21),Arg(r_ibc01p.21),Re(r_ibc01p.12),Im(r_ibc01p.12),Abs(r_ibc01p.12),Arg(r_ibc01p.12),Re(r_ibc01p.22),Im(r_ibc01p.22),Abs(r_ibc01p.22),Arg(r_ibc01p.22)
+3.54505426E+01,+0.00000000E+00,+8.33038325E-01,-3.77735306E-01,+9.14678529E-01,-4.25713345E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.37552951E-01,-3.32982973E-01,+9.94928739E-01,-3.41265863E-01
+3.61570082E+01,+0.00000000E+00,+8.30399240E-01,-3.78710965E-01,+9.12680060E-01,-4.27881073E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.38026723E-01,-3.28933261E-01,+9.94027777E-01,-3.37267238E-01
+3.68698976E+01,+0.00000000E+00,+8.27652545E-01,-3.79740522E-01,+9.10610564E-01,-4.30161373E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.38510816E-01,-3.24811305E-01,+9.93128862E-01,-3.33189281E-01
+3.75895030E+01,+0.00000000E+00,+8.24792143E-01,-3.80827499E-01,+9.08466655E-01,-4.32561892E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.39005721E-01,-3.20616411E-01,+9.92233152E-01,-3.29030916E-01
+3.83161345E+01,+0.00000000E+00,+8.21811387E-01,-3.81975717E-01,+9.06244671E-01,-4.35091000E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.39511977E-01,-3.16347794E-01,+9.91341859E-01,-3.24790978E-01
+3.90501225E+01,+0.00000000E+00,+8.18703014E-01,-3.83189326E-01,+9.03940642E-01,-4.37757878E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.40030178E-01,-3.12004573E-01,+9.90456252E-01,-3.20468199E-01
+3.97918195E+01,+0.00000000E+00,+8.15459070E-01,-3.84472843E-01,+9.01550255E-01,-4.40572618E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.40560976E-01,-3.07585757E-01,+9.89577661E-01,-3.16061202E-01
+4.05416019E+01,+0.00000000E+00,+8.12070826E-01,-3.85831195E-01,+8.99068817E-01,-4.43546345E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.41105088E-01,-3.03090235E-01,+9.88707478E-01,-3.11568483E-01
+4.12998728E+01,+0.00000000E+00,+8.08528676E-01,-3.87269762E-01,+8.96491209E-01,-4.46691348E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.41663303E-01,-2.98516762E-01,+9.87847171E-01,-3.06988407E-01
+4.20670648E+01,+0.00000000E+00,+8.04822020E-01,-3.88794439E-01,+8.93811837E-01,-4.50021242E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.42236481E-01,-2.93863942E-01,+9.86998279E-01,-3.02319182E-01
